City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
251,Bogorodskoye,RU,56.55,37.8833,41.47,80,71,7.29,broken clouds
252,Magistralnyy,RU,56.1725,107.4458,52.02,73,99,8.77,overcast clouds
253,Zemio,CF,5.0314,25.1361,71.67,87,99,2.84,overcast clouds
254,Laguna,US,38.421,-121.4238,80.69,24,0,5.75,clear sky
255,Sol-Iletsk,RU,51.1631,54.9918,40.91,94,96,19.48,overcast clouds
256,Sawtell,AU,-30.3833,153.1,59.02,94,100,10.36,light rain
257,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.58,60,4,11.61,clear sky
258,Barraute,CA,48.4335,-77.6328,62.87,52,86,8.57,overcast clouds
259,Taloqan,AF,36.7361,69.5345,75.27,30,39,5.5,scattered clouds
260,Ofaqim,IL,31.3141,34.6203,74.71,60,100,6.11,overcast clouds
261,Puerto Baquerizo Moreno,EC,-0.9,-89.6,73.35,81,70,10.18,broken clouds
262,Sitka,US,57.0531,-135.33,57.09,54,0,0.0,clear sky
263,Ozuluama,MX,21.6667,-97.85,98.1,37,0,8.7,clear sky
264,Shache,CN,38.4167,77.2406,69.21,35,99,14.7,overcast clouds
265,Kruisfontein,ZA,-34.0033,24.7314,56.88,80,27,4.34,scattered clouds
266,Harwich,GB,51.9419,1.2844,64.98,71,99,5.01,overcast clouds
267,Karpogory,RU,64.0019,44.4451,36.07,63,100,7.38,overcast clouds
268,Awjilah,LY,29.1081,21.2869,73.56,31,0,17.16,clear sky
269,Duluth,US,46.7833,-92.1066,52.05,61,75,11.5,broken clouds
270,Bichura,RU,50.5881,107.6022,49.42,94,85,3.87,overcast clouds
271,Kavieng,PG,-2.5744,150.7967,82.13,73,94,12.35,overcast clouds
272,Bemidji,US,47.4736,-94.8803,45.55,69,100,10.36,overcast clouds
273,Surt,LY,31.2089,16.5887,67.86,57,0,6.04,clear sky
274,Hobe Sound,US,27.0595,-80.1364,91.0,70,75,17.27,broken clouds
275,Salalah,OM,17.0151,54.0924,81.16,86,59,6.64,broken clouds
276,Miyako,JP,39.6367,141.9525,56.26,87,98,4.0,overcast clouds
277,Kaluga,RU,54.5,35.5,46.33,87,100,8.79,overcast clouds
278,Torbay,CA,47.6666,-52.7314,50.18,57,36,5.59,scattered clouds
279,Bethel,US,41.3712,-73.414,91.18,61,0,3.0,clear sky
280,Moengo,SR,5.6167,-54.4,77.99,93,99,4.23,moderate rain
281,Tarko-Sale,RU,64.9225,77.785,45.1,66,100,5.82,overcast clouds
282,Stepnyak,KZ,52.8339,70.7803,61.14,67,75,6.6,broken clouds
283,Alta Floresta,BR,-9.8756,-56.0861,83.1,44,1,3.29,clear sky
284,Acapulco,MX,16.8634,-99.8901,85.71,52,46,7.78,scattered clouds
285,Granadilla De Abona,ES,28.1188,-16.576,71.1,60,20,24.16,few clouds
286,Port Lincoln,AU,-34.7333,135.8667,58.69,83,0,11.88,clear sky
287,Darhan,MN,49.4867,105.9228,55.35,74,94,1.5,overcast clouds
288,Port Augusta,AU,-32.5,137.7667,52.18,86,0,2.48,clear sky
289,Port Said,EG,31.2565,32.2841,70.45,82,59,24.63,broken clouds
290,Yumen,CN,40.2833,97.2,65.66,30,10,11.07,clear sky
291,Lander,US,42.833,-108.7307,48.11,47,65,7.96,broken clouds
292,Kalmar,SE,56.6616,16.3616,50.14,84,100,7.0,overcast clouds
293,Nanakuli,US,21.3906,-158.1547,80.55,74,75,3.44,broken clouds
294,Bulungu,CD,-4.55,18.6,72.97,93,98,2.44,overcast clouds
295,Souillac,MU,-20.5167,57.5167,74.25,73,3,12.88,clear sky
296,Bealanana,MG,-14.55,48.7333,60.12,98,66,3.94,broken clouds
297,Palmer,US,42.1584,-72.3287,88.39,58,98,1.99,overcast clouds
298,Nanortalik,GL,60.1432,-45.2371,39.63,79,21,7.31,few clouds
299,Asosa,ET,10.0667,34.5333,64.11,81,82,7.07,light rain
300,Dabakala,CI,8.3667,-4.4333,80.08,76,96,10.04,moderate rain
301,Morshansk,RU,53.4435,41.8107,45.36,66,57,4.79,broken clouds
302,Honiara,SB,-9.4333,159.95,77.4,85,41,1.54,scattered clouds
303,Ust-Tsilma,RU,65.441,52.1498,32.38,77,100,9.6,overcast clouds
304,Povenets,RU,62.8487,34.8262,38.41,55,11,9.06,few clouds
305,Kindu,CD,-2.95,25.95,74.82,85,96,2.8,overcast clouds
306,Vao,NC,-22.6667,167.4833,74.07,88,80,25.05,broken clouds
307,Bonavista,CA,48.6499,-53.1147,50.92,63,38,10.11,scattered clouds
308,Codrington,AU,-38.2667,141.9667,44.1,93,6,7.11,clear sky
309,Meadow Lake,US,34.8014,-106.5436,74.79,22,26,6.8,scattered clouds
310,Husavik,IS,66.0449,-17.3389,45.55,90,100,12.1,overcast clouds
311,Houma,US,29.5958,-90.7195,91.0,77,40,18.41,scattered clouds
312,Energetik,RU,51.7445,58.7934,40.48,90,100,13.2,overcast clouds
313,Asyut,EG,27.181,31.1837,79.48,14,95,14.85,overcast clouds
314,Luderitz,NA,-26.6481,15.1594,57.81,62,13,22.46,few clouds
315,Juba,SS,4.8517,31.5825,76.59,72,98,5.17,light rain
316,Krasnoselkup,RU,65.7,82.4667,48.0,63,100,10.63,overcast clouds
317,Lowestoft,GB,52.4752,1.7516,65.34,79,99,6.73,overcast clouds
318,Ancud,CL,-41.8697,-73.8203,54.28,91,100,25.86,light rain
319,Shenjiamen,CN,29.9576,122.298,63.79,83,90,4.61,overcast clouds
320,Chifeng,CN,42.2683,118.9636,63.12,23,4,3.04,clear sky
321,De-Kastri,RU,51.4667,140.7833,38.73,99,100,3.83,overcast clouds
322,Rockhampton,AU,-23.3833,150.5,66.09,82,100,5.75,overcast clouds
323,Concordia,AR,-31.393,-58.0209,67.78,64,98,4.0,overcast clouds
324,Bandarbeyla,SO,9.4942,50.8122,80.76,82,94,22.79,overcast clouds
325,Mahibadhoo,MV,3.7833,72.9667,83.5,77,59,12.73,broken clouds
326,Warmbad,NA,-28.45,18.7333,56.71,43,1,7.63,clear sky
327,Esperance,AU,-33.8667,121.9,63.52,68,86,15.14,overcast clouds
328,Talcahuano,CL,-36.7167,-73.1167,58.68,67,75,6.91,broken clouds
329,Tornio,FI,65.8481,24.1466,51.82,73,67,5.75,broken clouds
330,Astana,KZ,51.1801,71.446,71.55,43,40,17.9,scattered clouds
331,Narsaq,GL,60.9167,-46.05,53.82,59,19,4.65,few clouds
332,Wana,PK,32.2989,69.5725,76.5,21,0,4.65,clear sky
333,Keti Bandar,PK,24.1447,67.4497,82.09,89,6,22.32,clear sky
